formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,cbm,vbm
Ba2Ca2Zn5Fe3O14,0.2356,-1.9991172801923072,0.184066841826933,824.401076282868,4.324089648708903,52.0,0.9481,0.7125
Ba2CaWO6,3.2129499999999998,-3.030096460125,0.00264011087499925,271.2951796455849,6.372913285854297,17.5,5.303375,2.0904249999999998
Ba2CdS3,2.0892,-1.84960027375,0.0,690.3125667328919,4.649905842641991,24.0,3.9044,1.8152
Ba2Ce2Ti2Fe(Si4O13)2,0.219,-3.340461791382114,0.025105135447157,588.215567363685,3.802972520172354,41.0,3.7109,3.4919
Ba2CoWO6,1.8426999999999991,-2.565399248000001,0.010751375500013,139.77699294262504,7.287421359034614,10.0,4.6578,2.8151
Ba2CuAg3(SnS4)2,0.8773999999999991,-1.011424582812498,0.009401371354162,413.5091470489775,4.641152615385017,16.0,4.3789,3.5015
Ba2Er2Zn8O13,1.392,-2.3750034018,0.052982683333331,376.65693440390726,5.909480147783417,25.0,2.4821,1.0901
Ba2EuWO6,0.0113,-2.961359405999999,0.002885412458338,654.4925456775907,7.169494214831537,40.0,4.7133,4.702
Ba2FeBiS5,0.625,-1.444259630833333,0.015787777283951,986.0179422289716,4.714123325389642,36.0,3.6418,3.0168
Ba2FeO4,1.9953999999999992,-2.392583402142856,0.0,477.32793448863526,5.489534289608774,28.0,3.2775,1.2821
Ba2FeSbS5,0.5309,-1.430873837499999,0.01961390287037,985.1863374088152,4.130059969160887,36.0,3.7282,3.1973
Ba2FeWO6,2.506199999999999,-2.639823302,0.000347599500006,284.644737626344,7.12105752511294,20.0,5.562,3.0558
Ba2GaBiS5,2.391,-1.572790915555555,0.0,1012.5076926285598,4.681831120781826,36.0,4.5697,2.1787
Ba2GaSbS5,2.396699999999999,-1.561313416388888,0.0,1011.0286662432618,4.115668168364566,36.0,4.7555,2.3588
Ba2Ge(Sb2S5)2,1.380199999999999,-1.043002797941175,0.001849298382348,1869.8857670239163,4.102702073293879,68.0,4.7825,3.4023
Ba2InBiS5,1.452899999999999,-1.520311703796295,0.0,508.7964737048264,4.952783993877049,18.0,4.5203,3.0674
