material_id,formula,chemsys,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,elements,crystal_system,spacegroup,is_stable,cif_path
mp-1232237,ScSe2,Sc-Se,0.0,-1.562565103255207,0.073451800026042,123.83285694753793,5.440936853953471,6,"['Sc', 'Se']",Tetragonal,P4/nmm,False,data\tmc_data\cif\mp-1232237.cif
mp-21576,Sc2Te,Sc-Te,0.0,-0.9620751858333331,0.0,858.1624082726903,5.050608757282955,36,"['Sc', 'Te']",Orthorhombic,Pnma,True,data\tmc_data\cif\mp-21576.cif
mp-1219396,Sc2Te3,Sc-Te,0.012699999999999,-1.444845519,0.035645439999998,153.9647234601651,5.098287668466038,5,"['Sc', 'Te']",Orthorhombic,Immm,False,data\tmc_data\cif\mp-1219396.cif
mp-12383,Sc2Te3,Sc-Te,0.0125,-1.479276697,0.0012142619999990002,609.0146298731953,5.155583544252009,20,"['Sc', 'Te']",Orthorhombic,Fddd,False,data\tmc_data\cif\mp-12383.cif
mp-32654,Sc2Te3,Sc-Te,0.0,-1.4393607169999991,0.041130241999999005,304.37344439696716,5.157851090136462,10,"['Sc', 'Te']",Monoclinic,C2/c,False,data\tmc_data\cif\mp-32654.cif
mp-685069,Sc2Te3,Sc-Te,0.0033000000000000004,-1.480490958999999,0.0,610.6110570880912,5.14210440105083,20,"['Sc', 'Te']",Triclinic,P-1,True,data\tmc_data\cif\mp-685069.cif
mp-1186975,Sc3Te,Sc-Te,0.0,-0.528386625416666,0.19507680362499902,178.90338950480617,4.872327243842928,8,"['Sc', 'Te']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-1186975.cif
mp-1219373,Sc3Te4,Sc-Te,0.0,-1.419595367380952,0.034644327142856,209.75837837846072,5.108221623029875,7,"['Sc', 'Te']",Trigonal,R3m,False,data\tmc_data\cif\mp-1219373.cif
mp-541594,Sc8Te3,Sc-Te,0.0,-0.7760661538636361,0.012473208848484001,1055.1335881671782,4.673769288459787,44,"['Sc', 'Te']",Monoclinic,C2/m,False,data\tmc_data\cif\mp-541594.cif
mp-1197413,Sc9Te2,Sc-Te,0.0,-0.528235628030301,0.0,1049.960278570676,4.173982675396059,44,"['Sc', 'Te']",Orthorhombic,Cmc2_1,True,data\tmc_data\cif\mp-1197413.cif
mp-10026,ScTe,Sc-Te,0.0,-1.388611533333332,0.0,103.3207634237463,5.546529536829515,4,"['Sc', 'Te']",Hexagonal,P6_3/mmc,True,data\tmc_data\cif\mp-10026.cif
mp-1079832,ScTe,Sc-Te,0.0,-1.37448327958333,0.014128253750001001,204.1664596482539,5.613768951912024,8,"['Sc', 'Te']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-1079832.cif
